ghi,air_temp,period_end,period,hour_decimal,sin_hour,cos_hour,energia_15min_pred [kWh]
0,16,2025-07-07 02:15:00+00:00,PT15M,2.25,0.5555702330196022,0.8314696123025452,0.0
0,16,2025-07-07 02:30:00+00:00,PT15M,2.5,0.6087614290087207,0.7933533402912352,0.0
0,16,2025-07-07 02:45:00+00:00,PT15M,2.75,0.6593458151000688,0.7518398074789774,0.0
1,16,2025-07-07 03:00:00+00:00,PT15M,3.0,0.7071067811865476,0.7071067811865476,0.0
5,16,2025-07-07 03:15:00+00:00,PT15M,3.25,0.7518398074789774,0.6593458151000688,0.0
12,16,2025-07-07 03:30:00+00:00,PT15M,3.5,0.7933533402912352,0.6087614290087207,0.0
21,16,2025-07-07 03:45:00+00:00,PT15M,3.75,0.8314696123025451,0.5555702330196024,0.0
34,16,2025-07-07 04:00:00+00:00,PT15M,4.0,0.8660254037844386,0.5000000000000001,0.0
50,16,2025-07-07 04:15:00+00:00,PT15M,4.25,0.8968727415326884,0.44228869021900125,0.0031653177
66,16,2025-07-07 04:30:00+00:00,PT15M,4.5,0.9238795325112867,0.38268343236508984,0.011191649
80,17,2025-07-07 04:45:00+00:00,PT15M,4.75,0.9469301294951056,0.3214394653031617,0.053911254
90,17,2025-07-07 05:00:00+00:00,PT15M,5.0,0.9659258262890683,0.25881904510252074,0.06720676
103,17,2025-07-07 05:15:00+00:00,PT15M,5.25,0.9807852804032304,0.19509032201612833,0.081007764
122,17,2025-07-07 05:30:00+00:00,PT15M,5.5,0.9914448613738104,0.1305261922200517,0.10417113
140,17,2025-07-07 05:45:00+00:00,PT15M,5.75,0.9978589232386035,0.06540312923014327,0.13562912
157,18,2025-07-07 06:00:00+00:00,PT15M,6.0,1.0,6.123233995736766e-17,0.16578646
174,18,2025-07-07 06:15:00+00:00,PT15M,6.25,0.9978589232386035,-0.06540312923014314,0.20168741
192,18,2025-07-07 06:30:00+00:00,PT15M,6.5,0.9914448613738104,-0.1305261922200516,0.24331753
211,18,2025-07-07 06:45:00+00:00,PT15M,6.75,0.9807852804032304,-0.1950903220161282,0.27926615
228,18,2025-07-07 07:00:00+00:00,PT15M,7.0,0.9659258262890683,-0.25881904510252063,0.3030488
243,18,2025-07-07 07:15:00+00:00,PT15M,7.25,0.9469301294951057,-0.3214394653031616,0.3223432
257,18,2025-07-07 07:30:00+00:00,PT15M,7.5,0.9238795325112868,-0.3826834323650895,0.33130407
270,18,2025-07-07 07:45:00+00:00,PT15M,7.75,0.8968727415326884,-0.44228869021900113,0.32327095
282,18,2025-07-07 08:00:00+00:00,PT15M,8.0,0.8660254037844387,-0.4999999999999998,0.31730762
303,18,2025-07-07 08:15:00+00:00,PT15M,8.25,0.8314696123025451,-0.5555702330196023,0.33071738
334,18,2025-07-07 08:30:00+00:00,PT15M,8.5,0.7933533402912352,-0.6087614290087207,0.3475626
366,18,2025-07-07 08:45:00+00:00,PT15M,8.75,0.7518398074789774,-0.6593458151000688,0.37874913
397,18,2025-07-07 09:00:00+00:00,PT15M,9.0,0.7071067811865476,-0.7071067811865475,0.42070687
419,18,2025-07-07 09:15:00+00:00,PT15M,9.25,0.659345815100069,-0.7518398074789773,0.455609
428,18,2025-07-07 09:30:00+00:00,PT15M,9.5,0.6087614290087209,-0.793353340291235,0.48165238
436,18,2025-07-07 09:45:00+00:00,PT15M,9.75,0.5555702330196025,-0.831469612302545,0.4994457
443,18,2025-07-07 10:00:00+00:00,PT15M,10.0,0.49999999999999994,-0.8660254037844387,0.5128538
436,18,2025-07-07 10:15:00+00:00,PT15M,10.25,0.4422886902190017,-0.8968727415326881,0.5086651
414,19,2025-07-07 10:30:00+00:00,PT15M,10.5,0.3826834323650899,-0.9238795325112867,0.52913165
390,19,2025-07-07 10:45:00+00:00,PT15M,10.75,0.32143946530316175,-0.9469301294951056,0.50515175
365,19,2025-07-07 11:00:00+00:00,PT15M,11.0,0.258819045102521,-0.9659258262890682,0.48019215
343,20,2025-07-07 11:15:00+00:00,PT15M,11.25,0.19509032201612816,-0.9807852804032304,0.5080863
