ghi,air_temp,period_end,period,hour_decimal,sin_hour,cos_hour,energia_15min_pred [kWh]
834,28,2025-07-03 10:15:00+00:00,PT15M,10.25,0.4422886902190017,-0.8968727415326881,1.2087475
806,28,2025-07-03 10:30:00+00:00,PT15M,10.5,0.3826834323650899,-0.9238795325112867,1.2028328
806,28,2025-07-03 10:45:00+00:00,PT15M,10.75,0.32143946530316175,-0.9469301294951056,1.226372
690,28,2025-07-03 11:00:00+00:00,PT15M,11.0,0.258819045102521,-0.9659258262890682,1.0853944
586,28,2025-07-03 11:15:00+00:00,PT15M,11.25,0.19509032201612816,-0.9807852804032304,0.9026912
545,28,2025-07-03 11:30:00+00:00,PT15M,11.5,0.130526192220052,-0.9914448613738104,0.8311569
636,29,2025-07-03 11:45:00+00:00,PT15M,11.75,0.06540312923014312,-0.9978589232386035,0.9428698
686,29,2025-07-03 12:00:00+00:00,PT15M,12.0,1.2246467991473532e-16,-1.0,1.0435221
684,29,2025-07-03 12:15:00+00:00,PT15M,12.25,-0.06540312923014287,-0.9978589232386035,1.0413362
673,29,2025-07-03 12:30:00+00:00,PT15M,12.5,-0.13052619222005177,-0.9914448613738104,1.0250087
647,28,2025-07-03 12:45:00+00:00,PT15M,12.75,-0.19509032201612792,-0.9807852804032305,1.0054383
618,28,2025-07-03 13:00:00+00:00,PT15M,13.0,-0.2588190451025208,-0.9659258262890683,0.9559529
589,28,2025-07-03 13:15:00+00:00,PT15M,13.25,-0.32143946530316153,-0.9469301294951057,0.91003495
566,28,2025-07-03 13:30:00+00:00,PT15M,13.5,-0.38268343236508967,-0.9238795325112868,0.8706383
541,27,2025-07-03 13:45:00+00:00,PT15M,13.75,-0.44228869021900147,-0.8968727415326883,0.82754046
514,27,2025-07-03 14:00:00+00:00,PT15M,14.0,-0.4999999999999997,-0.8660254037844388,0.7731524
481,26,2025-07-03 14:15:00+00:00,PT15M,14.25,-0.555570233019602,-0.8314696123025455,0.71661425
443,26,2025-07-03 14:30:00+00:00,PT15M,14.5,-0.6087614290087207,-0.7933533402912352,0.6457484
406,26,2025-07-03 14:45:00+00:00,PT15M,14.75,-0.6593458151000688,-0.7518398074789774,0.57448775
368,26,2025-07-03 15:00:00+00:00,PT15M,15.0,-0.7071067811865471,-0.7071067811865479,0.50104123
338,26,2025-07-03 15:15:00+00:00,PT15M,15.25,-0.7518398074789773,-0.6593458151000691,0.43737414
311,25,2025-07-03 15:30:00+00:00,PT15M,15.5,-0.7933533402912349,-0.6087614290087209,0.33653724
284,25,2025-07-03 15:45:00+00:00,PT15M,15.75,-0.8314696123025452,-0.5555702330196022,0.2879239
257,24,2025-07-03 16:00:00+00:00,PT15M,16.0,-0.8660254037844385,-0.5000000000000004,0.20992039
232,24,2025-07-03 16:15:00+00:00,PT15M,16.25,-0.8968727415326883,-0.44228869021900136,0.18588427
206,24,2025-07-03 16:30:00+00:00,PT15M,16.5,-0.9238795325112868,-0.3826834323650895,0.16169377
180,24,2025-07-03 16:45:00+00:00,PT15M,16.75,-0.9469301294951056,-0.3214394653031618,0.1444836
155,23,2025-07-03 17:00:00+00:00,PT15M,17.0,-0.9659258262890683,-0.25881904510252063,0.13112175
129,23,2025-07-03 17:15:00+00:00,PT15M,17.25,-0.9807852804032303,-0.19509032201612866,0.1259476
104,23,2025-07-03 17:30:00+00:00,PT15M,17.5,-0.9914448613738104,-0.13052619222005163,0.12454469
79,23,2025-07-03 17:45:00+00:00,PT15M,17.75,-0.9978589232386035,-0.06540312923014273,0.118136905
58,22,2025-07-03 18:00:00+00:00,PT15M,18.0,-1.0,-1.8369701987210297e-16,0.06421857
40,22,2025-07-03 18:15:00+00:00,PT15M,18.25,-0.9978589232386036,0.06540312923014237,0.048886187
26,22,2025-07-03 18:30:00+00:00,PT15M,18.5,-0.9914448613738105,0.13052619222005127,0.048110336
15,21,2025-07-03 18:45:00+00:00,PT15M,18.75,-0.9807852804032304,0.1950903220161283,0.01812837
6,21,2025-07-03 19:00:00+00:00,PT15M,19.0,-0.9659258262890684,0.2588190451025203,0.018115116
0,20,2025-07-03 19:15:00+00:00,PT15M,19.25,-0.9469301294951057,0.3214394653031615,0.0
0,20,2025-07-03 19:30:00+00:00,PT15M,19.5,-0.923879532511287,0.38268343236508917,0.0
0,20,2025-07-03 19:45:00+00:00,PT15M,19.75,-0.8968727415326884,0.442288690219001,0.0
0,20,2025-07-03 20:00:00+00:00,PT15M,20.0,-0.8660254037844386,0.5000000000000001,0.0
0,20,2025-07-03 20:15:00+00:00,PT15M,20.25,-0.8314696123025455,0.5555702330196018,0.0
0,20,2025-07-03 20:30:00+00:00,PT15M,20.5,-0.7933533402912357,0.6087614290087199,0.0
0,20,2025-07-03 20:45:00+00:00,PT15M,20.75,-0.7518398074789772,0.6593458151000691,0.0
0,19,2025-07-03 21:00:00+00:00,PT15M,21.0,-0.7071067811865477,0.7071067811865474,0.0
0,19,2025-07-03 21:15:00+00:00,PT15M,21.25,-0.6593458151000687,0.7518398074789775,0.0
0,19,2025-07-03 21:30:00+00:00,PT15M,21.5,-0.608761429008721,0.7933533402912349,0.0
0,18,2025-07-03 21:45:00+00:00,PT15M,21.75,-0.555570233019603,0.8314696123025447,0.0
0,18,2025-07-03 22:00:00+00:00,PT15M,22.0,-0.5000000000000004,0.8660254037844384,0.0
0,17,2025-07-03 22:15:00+00:00,PT15M,22.25,-0.4422886902190014,0.8968727415326883,0.0
0,17,2025-07-03 22:30:00+00:00,PT15M,22.5,-0.38268343236508956,0.9238795325112868,0.0
0,16,2025-07-03 22:45:00+00:00,PT15M,22.75,-0.32143946530316186,0.9469301294951056,0.0
0,16,2025-07-03 23:00:00+00:00,PT15M,23.0,-0.25881904510252157,0.9659258262890681,0.0
0,16,2025-07-03 23:15:00+00:00,PT15M,23.25,-0.19509032201612872,0.9807852804032303,0.0
0,15,2025-07-03 23:30:00+00:00,PT15M,23.5,-0.13052619222005168,0.9914448613738104,0.0
0,15,2025-07-03 23:45:00+00:00,PT15M,23.75,-0.0654031292301428,0.9978589232386035,0.0
0,15,2025-07-04 00:00:00+00:00,PT15M,0.0,0.0,1.0,0.0
0,14,2025-07-04 00:15:00+00:00,PT15M,0.25,0.06540312923014306,0.9978589232386035,0.0
