ghi,air_temp,period_end,period,hour_decimal,sin_hour,cos_hour,energia_15min_pred [kWh]
0,13,2025-07-05 02:15:00+00:00,PT15M,2.25,0.5555702330196022,0.8314696123025452,0.0
0,13,2025-07-05 02:30:00+00:00,PT15M,2.5,0.6087614290087207,0.7933533402912352,0.0
0,13,2025-07-05 02:45:00+00:00,PT15M,2.75,0.6593458151000688,0.7518398074789774,0.0
2,13,2025-07-05 03:00:00+00:00,PT15M,3.0,0.7071067811865476,0.7071067811865476,0.0
15,13,2025-07-05 03:15:00+00:00,PT15M,3.25,0.7518398074789774,0.6593458151000688,0.0
32,14,2025-07-05 03:30:00+00:00,PT15M,3.5,0.7933533402912352,0.6087614290087207,0.0
54,14,2025-07-05 03:45:00+00:00,PT15M,3.75,0.8314696123025451,0.5555702330196024,0.0
81,14,2025-07-05 04:00:00+00:00,PT15M,4.0,0.8660254037844386,0.5000000000000001,0.0
110,14,2025-07-05 04:15:00+00:00,PT15M,4.25,0.8968727415326884,0.44228869021900125,0.0021582376
144,15,2025-07-05 04:30:00+00:00,PT15M,4.5,0.9238795325112867,0.38268343236508984,0.023769362
180,15,2025-07-05 04:45:00+00:00,PT15M,4.75,0.9469301294951056,0.3214394653031617,0.06935702
218,16,2025-07-05 05:00:00+00:00,PT15M,5.0,0.9659258262890683,0.25881904510252074,0.10101797
257,16,2025-07-05 05:15:00+00:00,PT15M,5.25,0.9807852804032304,0.19509032201612833,0.17129192
299,17,2025-07-05 05:30:00+00:00,PT15M,5.5,0.9914448613738104,0.1305261922200517,0.2066209
341,18,2025-07-05 05:45:00+00:00,PT15M,5.75,0.9978589232386035,0.06540312923014327,0.18921095
382,18,2025-07-05 06:00:00+00:00,PT15M,6.0,1.0,6.123233995736766e-17,0.2122078
423,19,2025-07-05 06:15:00+00:00,PT15M,6.25,0.9978589232386035,-0.06540312923014314,0.19811197
464,19,2025-07-05 06:30:00+00:00,PT15M,6.5,0.9914448613738104,-0.1305261922200516,0.23908581
503,20,2025-07-05 06:45:00+00:00,PT15M,6.75,0.9807852804032304,-0.1950903220161282,0.27818573
542,20,2025-07-05 07:00:00+00:00,PT15M,7.0,0.9659258262890683,-0.25881904510252063,0.33853105
580,21,2025-07-05 07:15:00+00:00,PT15M,7.25,0.9469301294951057,-0.3214394653031616,0.3947423
615,21,2025-07-05 07:30:00+00:00,PT15M,7.5,0.9238795325112868,-0.3826834323650895,0.46803388
648,22,2025-07-05 07:45:00+00:00,PT15M,7.75,0.8968727415326884,-0.44228869021900113,0.5141084
680,22,2025-07-05 08:00:00+00:00,PT15M,8.0,0.8660254037844387,-0.4999999999999998,0.58151895
710,23,2025-07-05 08:15:00+00:00,PT15M,8.25,0.8314696123025451,-0.5555702330196023,0.65029734
738,23,2025-07-05 08:30:00+00:00,PT15M,8.5,0.7933533402912352,-0.6087614290087207,0.7206399
764,24,2025-07-05 08:45:00+00:00,PT15M,8.75,0.7518398074789774,-0.6593458151000688,0.81623703
787,24,2025-07-05 09:00:00+00:00,PT15M,9.0,0.7071067811865476,-0.7071067811865475,0.88288456
805,24,2025-07-05 09:15:00+00:00,PT15M,9.25,0.659345815100069,-0.7518398074789773,0.95147955
817,25,2025-07-05 09:30:00+00:00,PT15M,9.5,0.6087614290087209,-0.793353340291235,1.030967
826,25,2025-07-05 09:45:00+00:00,PT15M,9.75,0.5555702330196025,-0.831469612302545,1.0788884
832,25,2025-07-05 10:00:00+00:00,PT15M,10.0,0.49999999999999994,-0.8660254037844387,1.1257579
827,26,2025-07-05 10:15:00+00:00,PT15M,10.25,0.4422886902190017,-0.8968727415326881,1.1775512
810,26,2025-07-05 10:30:00+00:00,PT15M,10.5,0.3826834323650899,-0.9238795325112867,1.1924455
789,26,2025-07-05 10:45:00+00:00,PT15M,10.75,0.32143946530316175,-0.9469301294951056,1.1995516
766,26,2025-07-05 11:00:00+00:00,PT15M,11.0,0.258819045102521,-0.9659258262890682,1.1995232
752,27,2025-07-05 11:15:00+00:00,PT15M,11.25,0.19509032201612816,-0.9807852804032304,1.2039708
745,27,2025-07-05 11:30:00+00:00,PT15M,11.5,0.130526192220052,-0.9914448613738104,1.2124381
736,27,2025-07-05 11:45:00+00:00,PT15M,11.75,0.06540312923014312,-0.9978589232386035,1.2120125
724,28,2025-07-05 12:00:00+00:00,PT15M,12.0,1.2246467991473532e-16,-1.0,1.1550906
705,28,2025-07-05 12:15:00+00:00,PT15M,12.25,-0.06540312923014287,-0.9978589232386035,1.120268
680,28,2025-07-05 12:30:00+00:00,PT15M,12.5,-0.13052619222005177,-0.9914448613738104,1.071735
653,28,2025-07-05 12:45:00+00:00,PT15M,12.75,-0.19509032201612792,-0.9807852804032305,1.0169678
624,28,2025-07-05 13:00:00+00:00,PT15M,13.0,-0.2588190451025208,-0.9659258262890683,0.9658461
601,28,2025-07-05 13:15:00+00:00,PT15M,13.25,-0.32143946530316153,-0.9469301294951057,0.927779
584,28,2025-07-05 13:30:00+00:00,PT15M,13.5,-0.38268343236508967,-0.9238795325112868,0.8897891
565,28,2025-07-05 13:45:00+00:00,PT15M,13.75,-0.44228869021900147,-0.8968727415326883,0.8467758
544,28,2025-07-05 14:00:00+00:00,PT15M,14.0,-0.4999999999999997,-0.8660254037844388,0.7992477
515,28,2025-07-05 14:15:00+00:00,PT15M,14.25,-0.555570233019602,-0.8314696123025455,0.7396708
478,28,2025-07-05 14:30:00+00:00,PT15M,14.5,-0.6087614290087207,-0.7933533402912352,0.66705006
442,28,2025-07-05 14:45:00+00:00,PT15M,14.75,-0.6593458151000688,-0.7518398074789774,0.5984015
405,28,2025-07-05 15:00:00+00:00,PT15M,15.0,-0.7071067811865471,-0.7071067811865479,0.5368182
372,28,2025-07-05 15:15:00+00:00,PT15M,15.25,-0.7518398074789773,-0.6593458151000691,0.47943297
341,27,2025-07-05 15:30:00+00:00,PT15M,15.5,-0.7933533402912349,-0.6087614290087209,0.4244001
309,27,2025-07-05 15:45:00+00:00,PT15M,15.75,-0.8314696123025452,-0.5555702330196022,0.3714721
278,26,2025-07-05 16:00:00+00:00,PT15M,16.0,-0.8660254037844385,-0.5000000000000004,0.28825098
253,26,2025-07-05 16:15:00+00:00,PT15M,16.25,-0.8968727415326883,-0.44228869021900136,0.24613534
232,26,2025-07-05 16:30:00+00:00,PT15M,16.5,-0.9238795325112868,-0.3826834323650895,0.23120199
210,26,2025-07-05 16:45:00+00:00,PT15M,16.75,-0.9469301294951056,-0.3214394653031618,0.21858971
187,26,2025-07-05 17:00:00+00:00,PT15M,17.0,-0.9659258262890683,-0.25881904510252063,0.20584165
162,26,2025-07-05 17:15:00+00:00,PT15M,17.25,-0.9807852804032303,-0.19509032201612866,0.19412018
135,25,2025-07-05 17:30:00+00:00,PT15M,17.5,-0.9914448613738104,-0.13052619222005163,0.15303023
108,24,2025-07-05 17:45:00+00:00,PT15M,17.75,-0.9978589232386035,-0.06540312923014273,0.13538931
83,24,2025-07-05 18:00:00+00:00,PT15M,18.0,-1.0,-1.8369701987210297e-16,0.14756763
59,24,2025-07-05 18:15:00+00:00,PT15M,18.25,-0.9978589232386036,0.06540312923014237,0.12788865
39,23,2025-07-05 18:30:00+00:00,PT15M,18.5,-0.9914448613738105,0.13052619222005127,0.077067666
21,23,2025-07-05 18:45:00+00:00,PT15M,18.75,-0.9807852804032304,0.1950903220161283,0.05824536
8,23,2025-07-05 19:00:00+00:00,PT15M,19.0,-0.9659258262890684,0.2588190451025203,0.061516114
0,23,2025-07-05 19:15:00+00:00,PT15M,19.25,-0.9469301294951057,0.3214394653031615,0.0
0,22,2025-07-05 19:30:00+00:00,PT15M,19.5,-0.923879532511287,0.38268343236508917,0.0
0,22,2025-07-05 19:45:00+00:00,PT15M,19.75,-0.8968727415326884,0.442288690219001,0.0
0,22,2025-07-05 20:00:00+00:00,PT15M,20.0,-0.8660254037844386,0.5000000000000001,0.0
0,21,2025-07-05 20:15:00+00:00,PT15M,20.25,-0.8314696123025455,0.5555702330196018,0.0
0,21,2025-07-05 20:30:00+00:00,PT15M,20.5,-0.7933533402912357,0.6087614290087199,0.0
0,20,2025-07-05 20:45:00+00:00,PT15M,20.75,-0.7518398074789772,0.6593458151000691,0.0
0,20,2025-07-05 21:00:00+00:00,PT15M,21.0,-0.7071067811865477,0.7071067811865474,0.0
0,20,2025-07-05 21:15:00+00:00,PT15M,21.25,-0.6593458151000687,0.7518398074789775,0.0
0,19,2025-07-05 21:30:00+00:00,PT15M,21.5,-0.608761429008721,0.7933533402912349,0.0
0,19,2025-07-05 21:45:00+00:00,PT15M,21.75,-0.555570233019603,0.8314696123025447,0.0
0,19,2025-07-05 22:00:00+00:00,PT15M,22.0,-0.5000000000000004,0.8660254037844384,0.0
0,18,2025-07-05 22:15:00+00:00,PT15M,22.25,-0.4422886902190014,0.8968727415326883,0.0
0,18,2025-07-05 22:30:00+00:00,PT15M,22.5,-0.38268343236508956,0.9238795325112868,0.0
0,18,2025-07-05 22:45:00+00:00,PT15M,22.75,-0.32143946530316186,0.9469301294951056,0.0
0,18,2025-07-05 23:00:00+00:00,PT15M,23.0,-0.25881904510252157,0.9659258262890681,0.0
0,18,2025-07-05 23:15:00+00:00,PT15M,23.25,-0.19509032201612872,0.9807852804032303,0.0
0,18,2025-07-05 23:30:00+00:00,PT15M,23.5,-0.13052619222005168,0.9914448613738104,0.0
0,17,2025-07-05 23:45:00+00:00,PT15M,23.75,-0.0654031292301428,0.9978589232386035,0.0
0,17,2025-07-06 00:00:00+00:00,PT15M,0.0,0.0,1.0,0.0
0,17,2025-07-06 00:15:00+00:00,PT15M,0.25,0.06540312923014306,0.9978589232386035,0.0
0,17,2025-07-06 00:30:00+00:00,PT15M,0.5,0.13052619222005157,0.9914448613738104,0.0
0,17,2025-07-06 00:45:00+00:00,PT15M,0.75,0.19509032201612825,0.9807852804032304,0.0
0,17,2025-07-06 01:00:00+00:00,PT15M,1.0,0.25881904510252074,0.9659258262890683,0.0
0,17,2025-07-06 01:15:00+00:00,PT15M,1.25,0.3214394653031616,0.9469301294951057,0.0
0,17,2025-07-06 01:30:00+00:00,PT15M,1.5,0.3826834323650898,0.9238795325112867,0.0
0,17,2025-07-06 01:45:00+00:00,PT15M,1.75,0.44228869021900125,0.8968727415326884,0.0
0,17,2025-07-06 02:00:00+00:00,PT15M,2.0,0.49999999999999994,0.8660254037844387,0.0
0,17,2025-07-06 02:15:00+00:00,PT15M,2.25,0.5555702330196022,0.8314696123025452,0.0
0,16,2025-07-06 02:30:00+00:00,PT15M,2.5,0.6087614290087207,0.7933533402912352,0.0
0,16,2025-07-06 02:45:00+00:00,PT15M,2.75,0.6593458151000688,0.7518398074789774,0.0
2,16,2025-07-06 03:00:00+00:00,PT15M,3.0,0.7071067811865476,0.7071067811865476,0.0
10,16,2025-07-06 03:15:00+00:00,PT15M,3.25,0.7518398074789774,0.6593458151000688,0.0
23,17,2025-07-06 03:30:00+00:00,PT15M,3.5,0.7933533402912352,0.6087614290087207,0.0
38,17,2025-07-06 03:45:00+00:00,PT15M,3.75,0.8314696123025451,0.5555702330196024,0.0034055393
56,17,2025-07-06 04:00:00+00:00,PT15M,4.0,0.8660254037844386,0.5000000000000001,0.014370358
77,18,2025-07-06 04:15:00+00:00,PT15M,4.25,0.8968727415326884,0.44228869021900125,0.04714612
102,18,2025-07-06 04:30:00+00:00,PT15M,4.5,0.9238795325112867,0.38268343236508984,0.05754964
128,18,2025-07-06 04:45:00+00:00,PT15M,4.75,0.9469301294951056,0.3214394653031617,0.067408636
155,19,2025-07-06 05:00:00+00:00,PT15M,5.0,0.9659258262890683,0.25881904510252074,0.06592419
185,19,2025-07-06 05:15:00+00:00,PT15M,5.25,0.9807852804032304,0.19509032201612833,0.078970954
217,20,2025-07-06 05:30:00+00:00,PT15M,5.5,0.9914448613738104,0.1305261922200517,0.055786908
252,20,2025-07-06 05:45:00+00:00,PT15M,5.75,0.9978589232386035,0.06540312923014327,0.07516449
286,21,2025-07-06 06:00:00+00:00,PT15M,6.0,1.0,6.123233995736766e-17,0.077497885
322,21,2025-07-06 06:15:00+00:00,PT15M,6.25,0.9978589232386035,-0.06540312923014314,0.112627484
359,21,2025-07-06 06:30:00+00:00,PT15M,6.5,0.9914448613738104,-0.1305261922200516,0.14362533
396,22,2025-07-06 06:45:00+00:00,PT15M,6.75,0.9807852804032304,-0.1950903220161282,0.18333897
434,22,2025-07-06 07:00:00+00:00,PT15M,7.0,0.9659258262890683,-0.25881904510252063,0.23636156
466,22,2025-07-06 07:15:00+00:00,PT15M,7.25,0.9469301294951057,-0.3214394653031616,0.28468087
493,23,2025-07-06 07:30:00+00:00,PT15M,7.5,0.9238795325112868,-0.3826834323650895,0.3546816
518,23,2025-07-06 07:45:00+00:00,PT15M,7.75,0.8968727415326884,-0.44228869021900113,0.40228382
543,23,2025-07-06 08:00:00+00:00,PT15M,8.0,0.8660254037844387,-0.4999999999999998,0.46060002
569,24,2025-07-06 08:15:00+00:00,PT15M,8.25,0.8314696123025451,-0.5555702330196023,0.5680272
596,24,2025-07-06 08:30:00+00:00,PT15M,8.5,0.7933533402912352,-0.6087614290087207,0.6336947
622,24,2025-07-06 08:45:00+00:00,PT15M,8.75,0.7518398074789774,-0.6593458151000688,0.69803727
646,25,2025-07-06 09:00:00+00:00,PT15M,9.0,0.7071067811865476,-0.7071067811865475,0.7977432
667,25,2025-07-06 09:15:00+00:00,PT15M,9.25,0.659345815100069,-0.7518398074789773,0.8528157
683,25,2025-07-06 09:30:00+00:00,PT15M,9.5,0.6087614290087209,-0.793353340291235,0.902914
696,26,2025-07-06 09:45:00+00:00,PT15M,9.75,0.5555702330196025,-0.831469612302545,0.98096126
708,26,2025-07-06 10:00:00+00:00,PT15M,10.0,0.49999999999999994,-0.8660254037844387,1.0262339
716,26,2025-07-06 10:15:00+00:00,PT15M,10.25,0.4422886902190017,-0.8968727415326881,1.0642856
722,26,2025-07-06 10:30:00+00:00,PT15M,10.5,0.3826834323650899,-0.9238795325112867,1.0933112
726,27,2025-07-06 10:45:00+00:00,PT15M,10.75,0.32143946530316175,-0.9469301294951056,1.1288031
727,27,2025-07-06 11:00:00+00:00,PT15M,11.0,0.258819045102521,-0.9659258262890682,1.1531639
724,27,2025-07-06 11:15:00+00:00,PT15M,11.25,0.19509032201612816,-0.9807852804032304,1.1680667
717,27,2025-07-06 11:30:00+00:00,PT15M,11.5,0.130526192220052,-0.9914448613738104,1.1697813
707,28,2025-07-06 11:45:00+00:00,PT15M,11.75,0.06540312923014312,-0.9978589232386035,1.1186156
695,28,2025-07-06 12:00:00+00:00,PT15M,12.0,1.2246467991473532e-16,-1.0,1.0994167
