ghi,air_temp,period_end,period,hour_decimal,sin_hour,cos_hour,energia_15min_pred [kWh]
0,18,2025-07-25 02:15:00+00:00,PT15M,2.25,0.5555702330196022,0.8314696123025452,0.0
0,18,2025-07-25 02:30:00+00:00,PT15M,2.5,0.6087614290087207,0.7933533402912352,0.0
0,18,2025-07-25 02:45:00+00:00,PT15M,2.75,0.6593458151000688,0.7518398074789774,0.0
0,18,2025-07-25 03:00:00+00:00,PT15M,3.0,0.7071067811865476,0.7071067811865476,0.0
0,18,2025-07-25 03:15:00+00:00,PT15M,3.25,0.7518398074789774,0.6593458151000688,0.0
4,18,2025-07-25 03:30:00+00:00,PT15M,3.5,0.7933533402912352,0.6087614290087207,0.02533782
13,18,2025-07-25 03:45:00+00:00,PT15M,3.75,0.8314696123025451,0.5555702330196024,0.029074362
25,18,2025-07-25 04:00:00+00:00,PT15M,4.0,0.8660254037844386,0.5000000000000001,0.0373504
38,18,2025-07-25 04:15:00+00:00,PT15M,4.25,0.8968727415326884,0.44228869021900125,0.049770683
51,18,2025-07-25 04:30:00+00:00,PT15M,4.5,0.9238795325112867,0.38268343236508984,0.06323623
63,18,2025-07-25 04:45:00+00:00,PT15M,4.75,0.9469301294951056,0.3214394653031617,0.07564321
73,18,2025-07-25 05:00:00+00:00,PT15M,5.0,0.9659258262890683,0.25881904510252074,0.08716066
87,18,2025-07-25 05:15:00+00:00,PT15M,5.25,0.9807852804032304,0.19509032201612833,0.09817682
109,18,2025-07-25 05:30:00+00:00,PT15M,5.5,0.9914448613738104,0.1305261922200517,0.11515811
132,18,2025-07-25 05:45:00+00:00,PT15M,5.75,0.9978589232386035,0.06540312923014327,0.13894367
157,18,2025-07-25 06:00:00+00:00,PT15M,6.0,1.0,6.123233995736766e-17,0.16578646
183,19,2025-07-25 06:15:00+00:00,PT15M,6.25,0.9978589232386035,-0.06540312923014314,0.1689045
211,19,2025-07-25 06:30:00+00:00,PT15M,6.5,0.9914448613738104,-0.1305261922200516,0.18987137
240,20,2025-07-25 06:45:00+00:00,PT15M,6.75,0.9807852804032304,-0.1950903220161282,0.14691785
270,20,2025-07-25 07:00:00+00:00,PT15M,7.0,0.9659258262890683,-0.25881904510252063,0.16970953
299,20,2025-07-25 07:15:00+00:00,PT15M,7.25,0.9469301294951057,-0.3214394653031616,0.18417786
325,21,2025-07-25 07:30:00+00:00,PT15M,7.5,0.9238795325112868,-0.3826834323650895,0.20480856
350,21,2025-07-25 07:45:00+00:00,PT15M,7.75,0.8968727415326884,-0.44228869021900113,0.24355559
375,22,2025-07-25 08:00:00+00:00,PT15M,8.0,0.8660254037844387,-0.4999999999999998,0.29650238
405,22,2025-07-25 08:15:00+00:00,PT15M,8.25,0.8314696123025451,-0.5555702330196023,0.35203135
