ghi,air_temp,period_end,period,hour_decimal,sin_hour,cos_hour,energia_15min_pred [kWh]
0,12,2025-07-04 02:15:00+00:00,PT15M,2.25,0.5555702330196022,0.8314696123025452,0.0
0,12,2025-07-04 02:30:00+00:00,PT15M,2.5,0.6087614290087207,0.7933533402912352,0.0
0,12,2025-07-04 02:45:00+00:00,PT15M,2.75,0.6593458151000688,0.7518398074789774,0.0
3,12,2025-07-04 03:00:00+00:00,PT15M,3.0,0.7071067811865476,0.7071067811865476,0.0
19,12,2025-07-04 03:15:00+00:00,PT15M,3.25,0.7518398074789774,0.6593458151000688,0.0
40,12,2025-07-04 03:30:00+00:00,PT15M,3.5,0.7933533402912352,0.6087614290087207,0.0
67,12,2025-07-04 03:45:00+00:00,PT15M,3.75,0.8314696123025451,0.5555702330196024,0.0
98,13,2025-07-04 04:00:00+00:00,PT15M,4.0,0.8660254037844386,0.5000000000000001,0.0
130,13,2025-07-04 04:15:00+00:00,PT15M,4.25,0.8968727415326884,0.44228869021900125,0.007305635
163,14,2025-07-04 04:30:00+00:00,PT15M,4.5,0.9238795325112867,0.38268343236508984,0.04492037
198,14,2025-07-04 04:45:00+00:00,PT15M,4.75,0.9469301294951056,0.3214394653031617,0.0943791
232,15,2025-07-04 05:00:00+00:00,PT15M,5.0,0.9659258262890683,0.25881904510252074,0.13417046
269,15,2025-07-04 05:15:00+00:00,PT15M,5.25,0.9807852804032304,0.19509032201612833,0.18324372
307,16,2025-07-04 05:30:00+00:00,PT15M,5.5,0.9914448613738104,0.1305261922200517,0.22657709
346,16,2025-07-04 05:45:00+00:00,PT15M,5.75,0.9978589232386035,0.06540312923014327,0.2583507
385,17,2025-07-04 06:00:00+00:00,PT15M,6.0,1.0,6.123233995736766e-17,0.25156736
422,17,2025-07-04 06:15:00+00:00,PT15M,6.25,0.9978589232386035,-0.06540312923014314,0.25927785
456,17,2025-07-04 06:30:00+00:00,PT15M,6.5,0.9914448613738104,-0.1305261922200516,0.27470174
490,18,2025-07-04 06:45:00+00:00,PT15M,6.75,0.9807852804032304,-0.1950903220161282,0.31341082
523,18,2025-07-04 07:00:00+00:00,PT15M,7.0,0.9659258262890683,-0.25881904510252063,0.3565148
552,18,2025-07-04 07:15:00+00:00,PT15M,7.25,0.9469301294951057,-0.3214394653031616,0.40133506
577,18,2025-07-04 07:30:00+00:00,PT15M,7.5,0.9238795325112868,-0.3826834323650895,0.4476152
601,19,2025-07-04 07:45:00+00:00,PT15M,7.75,0.8968727415326884,-0.44228869021900113,0.5046829
622,19,2025-07-04 08:00:00+00:00,PT15M,8.0,0.8660254037844387,-0.4999999999999998,0.55471504
635,19,2025-07-04 08:15:00+00:00,PT15M,8.25,0.8314696123025451,-0.5555702330196023,0.59583706
640,20,2025-07-04 08:30:00+00:00,PT15M,8.5,0.7933533402912352,-0.6087614290087207,0.62270486
643,20,2025-07-04 08:45:00+00:00,PT15M,8.75,0.7518398074789774,-0.6593458151000688,0.6533746
642,20,2025-07-04 09:00:00+00:00,PT15M,9.0,0.7071067811865476,-0.7071067811865475,0.67524916
648,21,2025-07-04 09:15:00+00:00,PT15M,9.25,0.659345815100069,-0.7518398074789773,0.73010284
662,21,2025-07-04 09:30:00+00:00,PT15M,9.5,0.6087614290087209,-0.793353340291235,0.77316815
674,21,2025-07-04 09:45:00+00:00,PT15M,9.75,0.5555702330196025,-0.831469612302545,0.81950426
684,22,2025-07-04 10:00:00+00:00,PT15M,10.0,0.49999999999999994,-0.8660254037844387,0.86942536
691,22,2025-07-04 10:15:00+00:00,PT15M,10.25,0.4422886902190017,-0.8968727415326881,0.91345304
695,22,2025-07-04 10:30:00+00:00,PT15M,10.5,0.3826834323650899,-0.9238795325112867,0.95318174
698,23,2025-07-04 10:45:00+00:00,PT15M,10.75,0.32143946530316175,-0.9469301294951056,1.0202036
698,23,2025-07-04 11:00:00+00:00,PT15M,11.0,0.258819045102521,-0.9659258262890682,1.0521612
699,23,2025-07-04 11:15:00+00:00,PT15M,11.25,0.19509032201612816,-0.9807852804032304,1.083967
700,23,2025-07-04 11:30:00+00:00,PT15M,11.5,0.130526192220052,-0.9914448613738104,1.1142697
700,24,2025-07-04 11:45:00+00:00,PT15M,11.75,0.06540312923014312,-0.9978589232386035,1.1694335
697,24,2025-07-04 12:00:00+00:00,PT15M,12.0,1.2246467991473532e-16,-1.0,1.1914879
693,24,2025-07-04 12:15:00+00:00,PT15M,12.25,-0.06540312923014287,-0.9978589232386035,1.2104721
688,23,2025-07-04 12:30:00+00:00,PT15M,12.5,-0.13052619222005177,-0.9914448613738104,1.1988585
680,23,2025-07-04 12:45:00+00:00,PT15M,12.75,-0.19509032201612792,-0.9807852804032305,1.2084125
670,23,2025-07-04 13:00:00+00:00,PT15M,13.0,-0.2588190451025208,-0.9659258262890683,1.2021918
653,23,2025-07-04 13:15:00+00:00,PT15M,13.25,-0.32143946530316153,-0.9469301294951057,1.170965
630,23,2025-07-04 13:30:00+00:00,PT15M,13.5,-0.38268343236508967,-0.9238795325112868,1.1257117
606,23,2025-07-04 13:45:00+00:00,PT15M,13.75,-0.44228869021900147,-0.8968727415326883,1.0623418
581,24,2025-07-04 14:00:00+00:00,PT15M,14.0,-0.4999999999999997,-0.8660254037844388,0.945821
554,24,2025-07-04 14:15:00+00:00,PT15M,14.25,-0.555570233019602,-0.8314696123025455,0.8567917
526,24,2025-07-04 14:30:00+00:00,PT15M,14.5,-0.6087614290087207,-0.7933533402912352,0.75936997
497,24,2025-07-04 14:45:00+00:00,PT15M,14.75,-0.6593458151000688,-0.7518398074789774,0.6649612
467,25,2025-07-04 15:00:00+00:00,PT15M,15.0,-0.7071067811865471,-0.7071067811865479,0.5797729
440,25,2025-07-04 15:15:00+00:00,PT15M,15.25,-0.7518398074789773,-0.6593458151000691,0.49943036
416,24,2025-07-04 15:30:00+00:00,PT15M,15.5,-0.7933533402912349,-0.6087614290087209,0.41306967
390,24,2025-07-04 15:45:00+00:00,PT15M,15.75,-0.8314696123025452,-0.5555702330196022,0.33530307
363,24,2025-07-04 16:00:00+00:00,PT15M,16.0,-0.8660254037844385,-0.5000000000000004,0.25437838
334,24,2025-07-04 16:15:00+00:00,PT15M,16.25,-0.8968727415326883,-0.44228869021900136,0.17824222
