ghi,air_temp,period_end,period
34,26,2025-07-02 18:45:00+00:00,PT15M
13,25,2025-07-02 19:00:00+00:00,PT15M
1,24,2025-07-02 19:15:00+00:00,PT15M
0,24,2025-07-02 19:30:00+00:00,PT15M
0,24,2025-07-02 19:45:00+00:00,PT15M
0,23,2025-07-02 20:00:00+00:00,PT15M
0,23,2025-07-02 20:15:00+00:00,PT15M
0,23,2025-07-02 20:30:00+00:00,PT15M
0,23,2025-07-02 20:45:00+00:00,PT15M
0,22,2025-07-02 21:00:00+00:00,PT15M
0,22,2025-07-02 21:15:00+00:00,PT15M
0,22,2025-07-02 21:30:00+00:00,PT15M
0,22,2025-07-02 21:45:00+00:00,PT15M
0,22,2025-07-02 22:00:00+00:00,PT15M
0,21,2025-07-02 22:15:00+00:00,PT15M
0,21,2025-07-02 22:30:00+00:00,PT15M
0,21,2025-07-02 22:45:00+00:00,PT15M
0,21,2025-07-02 23:00:00+00:00,PT15M
0,21,2025-07-02 23:15:00+00:00,PT15M
0,20,2025-07-02 23:30:00+00:00,PT15M
0,20,2025-07-02 23:45:00+00:00,PT15M
0,20,2025-07-03 00:00:00+00:00,PT15M
0,20,2025-07-03 00:15:00+00:00,PT15M
0,20,2025-07-03 00:30:00+00:00,PT15M
0,20,2025-07-03 00:45:00+00:00,PT15M
0,20,2025-07-03 01:00:00+00:00,PT15M
0,19,2025-07-03 01:15:00+00:00,PT15M
0,19,2025-07-03 01:30:00+00:00,PT15M
0,19,2025-07-03 01:45:00+00:00,PT15M
0,19,2025-07-03 02:00:00+00:00,PT15M
0,19,2025-07-03 02:15:00+00:00,PT15M
0,19,2025-07-03 02:30:00+00:00,PT15M
0,19,2025-07-03 02:45:00+00:00,PT15M
5,19,2025-07-03 03:00:00+00:00,PT15M
23,19,2025-07-03 03:15:00+00:00,PT15M
46,19,2025-07-03 03:30:00+00:00,PT15M
74,19,2025-07-03 03:45:00+00:00,PT15M
105,19,2025-07-03 04:00:00+00:00,PT15M
138,19,2025-07-03 04:15:00+00:00,PT15M
173,20,2025-07-03 04:30:00+00:00,PT15M
210,21,2025-07-03 04:45:00+00:00,PT15M
