ghi,air_temp,period_end,period
18,21,2025-07-24 18:15:00+00:00,PT15M
7,21,2025-07-24 18:30:00+00:00,PT15M
2,21,2025-07-24 18:45:00+00:00,PT15M
0,20,2025-07-24 19:00:00+00:00,PT15M
0,20,2025-07-24 19:15:00+00:00,PT15M
0,20,2025-07-24 19:30:00+00:00,PT15M
0,20,2025-07-24 19:45:00+00:00,PT15M
0,19,2025-07-24 20:00:00+00:00,PT15M
0,19,2025-07-24 20:15:00+00:00,PT15M
0,19,2025-07-24 20:30:00+00:00,PT15M
0,19,2025-07-24 20:45:00+00:00,PT15M
0,19,2025-07-24 21:00:00+00:00,PT15M
0,18,2025-07-24 21:15:00+00:00,PT15M
0,19,2025-07-24 21:30:00+00:00,PT15M
0,19,2025-07-24 21:45:00+00:00,PT15M
0,19,2025-07-24 22:00:00+00:00,PT15M
0,19,2025-07-24 22:15:00+00:00,PT15M
0,19,2025-07-24 22:30:00+00:00,PT15M
0,19,2025-07-24 22:45:00+00:00,PT15M
0,18,2025-07-24 23:00:00+00:00,PT15M
0,18,2025-07-24 23:15:00+00:00,PT15M
0,18,2025-07-24 23:30:00+00:00,PT15M
0,18,2025-07-24 23:45:00+00:00,PT15M
0,18,2025-07-25 00:00:00+00:00,PT15M
0,18,2025-07-25 00:15:00+00:00,PT15M
0,18,2025-07-25 00:30:00+00:00,PT15M
0,18,2025-07-25 00:45:00+00:00,PT15M
0,18,2025-07-25 01:00:00+00:00,PT15M
0,18,2025-07-25 01:15:00+00:00,PT15M
0,18,2025-07-25 01:30:00+00:00,PT15M
0,18,2025-07-25 01:45:00+00:00,PT15M
0,18,2025-07-25 02:00:00+00:00,PT15M
0,18,2025-07-25 02:15:00+00:00,PT15M
0,18,2025-07-25 02:30:00+00:00,PT15M
0,18,2025-07-25 02:45:00+00:00,PT15M
0,18,2025-07-25 03:00:00+00:00,PT15M
0,18,2025-07-25 03:15:00+00:00,PT15M
4,18,2025-07-25 03:30:00+00:00,PT15M
10,18,2025-07-25 03:45:00+00:00,PT15M
18,18,2025-07-25 04:00:00+00:00,PT15M
27,18,2025-07-25 04:15:00+00:00,PT15M
40,17,2025-07-25 04:30:00+00:00,PT15M
55,17,2025-07-25 04:45:00+00:00,PT15M
71,17,2025-07-25 05:00:00+00:00,PT15M
88,17,2025-07-25 05:15:00+00:00,PT15M
107,17,2025-07-25 05:30:00+00:00,PT15M
126,17,2025-07-25 05:45:00+00:00,PT15M
146,18,2025-07-25 06:00:00+00:00,PT15M
169,18,2025-07-25 06:15:00+00:00,PT15M
193,18,2025-07-25 06:30:00+00:00,PT15M
218,18,2025-07-25 06:45:00+00:00,PT15M
244,18,2025-07-25 07:00:00+00:00,PT15M
275,18,2025-07-25 07:15:00+00:00,PT15M
