ghi,air_temp,period_end,period
48,20,2025-07-23 18:15:00+00:00,PT15M
24,20,2025-07-23 18:30:00+00:00,PT15M
8,19,2025-07-23 18:45:00+00:00,PT15M
0,19,2025-07-23 19:00:00+00:00,PT15M
0,18,2025-07-23 19:15:00+00:00,PT15M
0,18,2025-07-23 19:30:00+00:00,PT15M
0,18,2025-07-23 19:45:00+00:00,PT15M
0,18,2025-07-23 20:00:00+00:00,PT15M
0,18,2025-07-23 20:15:00+00:00,PT15M
0,18,2025-07-23 20:30:00+00:00,PT15M
0,18,2025-07-23 20:45:00+00:00,PT15M
0,17,2025-07-23 21:00:00+00:00,PT15M
0,17,2025-07-23 21:15:00+00:00,PT15M
0,17,2025-07-23 21:30:00+00:00,PT15M
0,17,2025-07-23 21:45:00+00:00,PT15M
0,17,2025-07-23 22:00:00+00:00,PT15M
0,17,2025-07-23 22:15:00+00:00,PT15M
0,17,2025-07-23 22:30:00+00:00,PT15M
0,17,2025-07-23 22:45:00+00:00,PT15M
0,17,2025-07-23 23:00:00+00:00,PT15M
0,17,2025-07-23 23:15:00+00:00,PT15M
0,16,2025-07-23 23:30:00+00:00,PT15M
0,16,2025-07-23 23:45:00+00:00,PT15M
0,16,2025-07-24 00:00:00+00:00,PT15M
0,16,2025-07-24 00:15:00+00:00,PT15M
0,16,2025-07-24 00:30:00+00:00,PT15M
0,16,2025-07-24 00:45:00+00:00,PT15M
0,16,2025-07-24 01:00:00+00:00,PT15M
0,16,2025-07-24 01:15:00+00:00,PT15M
0,16,2025-07-24 01:30:00+00:00,PT15M
0,16,2025-07-24 01:45:00+00:00,PT15M
0,16,2025-07-24 02:00:00+00:00,PT15M
0,16,2025-07-24 02:15:00+00:00,PT15M
0,16,2025-07-24 02:30:00+00:00,PT15M
0,16,2025-07-24 02:45:00+00:00,PT15M
0,15,2025-07-24 03:00:00+00:00,PT15M
1,15,2025-07-24 03:15:00+00:00,PT15M
12,16,2025-07-24 03:30:00+00:00,PT15M
30,16,2025-07-24 03:45:00+00:00,PT15M
53,16,2025-07-24 04:00:00+00:00,PT15M
80,16,2025-07-24 04:15:00+00:00,PT15M
111,16,2025-07-24 04:30:00+00:00,PT15M
143,17,2025-07-24 04:45:00+00:00,PT15M
178,17,2025-07-24 05:00:00+00:00,PT15M
214,18,2025-07-24 05:15:00+00:00,PT15M
252,18,2025-07-24 05:30:00+00:00,PT15M
291,18,2025-07-24 05:45:00+00:00,PT15M
330,19,2025-07-24 06:00:00+00:00,PT15M
