ghi,air_temp,period_end,period
38,21,2025-07-03 18:15:00+00:00,PT15M
37,20,2025-07-03 18:30:00+00:00,PT15M
21,20,2025-07-03 18:45:00+00:00,PT15M
8,20,2025-07-03 19:00:00+00:00,PT15M
0,20,2025-07-03 19:15:00+00:00,PT15M
0,19,2025-07-03 19:30:00+00:00,PT15M
0,19,2025-07-03 19:45:00+00:00,PT15M
0,19,2025-07-03 20:00:00+00:00,PT15M
0,18,2025-07-03 20:15:00+00:00,PT15M
0,18,2025-07-03 20:30:00+00:00,PT15M
0,18,2025-07-03 20:45:00+00:00,PT15M
0,17,2025-07-03 21:00:00+00:00,PT15M
0,17,2025-07-03 21:15:00+00:00,PT15M
0,17,2025-07-03 21:30:00+00:00,PT15M
0,16,2025-07-03 21:45:00+00:00,PT15M
0,16,2025-07-03 22:00:00+00:00,PT15M
0,16,2025-07-03 22:15:00+00:00,PT15M
0,15,2025-07-03 22:30:00+00:00,PT15M
0,15,2025-07-03 22:45:00+00:00,PT15M
0,15,2025-07-03 23:00:00+00:00,PT15M
0,14,2025-07-03 23:15:00+00:00,PT15M
0,14,2025-07-03 23:30:00+00:00,PT15M
0,14,2025-07-03 23:45:00+00:00,PT15M
0,14,2025-07-04 00:00:00+00:00,PT15M
0,13,2025-07-04 00:15:00+00:00,PT15M
0,13,2025-07-04 00:30:00+00:00,PT15M
0,13,2025-07-04 00:45:00+00:00,PT15M
0,13,2025-07-04 01:00:00+00:00,PT15M
0,12,2025-07-04 01:15:00+00:00,PT15M
0,12,2025-07-04 01:30:00+00:00,PT15M
0,12,2025-07-04 01:45:00+00:00,PT15M
0,12,2025-07-04 02:00:00+00:00,PT15M
0,12,2025-07-04 02:15:00+00:00,PT15M
0,12,2025-07-04 02:30:00+00:00,PT15M
0,12,2025-07-04 02:45:00+00:00,PT15M
3,12,2025-07-04 03:00:00+00:00,PT15M
18,12,2025-07-04 03:15:00+00:00,PT15M
37,12,2025-07-04 03:30:00+00:00,PT15M
60,12,2025-07-04 03:45:00+00:00,PT15M
87,13,2025-07-04 04:00:00+00:00,PT15M
117,13,2025-07-04 04:15:00+00:00,PT15M
149,14,2025-07-04 04:30:00+00:00,PT15M
184,14,2025-07-04 04:45:00+00:00,PT15M
218,15,2025-07-04 05:00:00+00:00,PT15M
254,15,2025-07-04 05:15:00+00:00,PT15M
290,16,2025-07-04 05:30:00+00:00,PT15M
327,16,2025-07-04 05:45:00+00:00,PT15M
363,16,2025-07-04 06:00:00+00:00,PT15M
396,17,2025-07-04 06:15:00+00:00,PT15M
427,17,2025-07-04 06:30:00+00:00,PT15M
456,18,2025-07-04 06:45:00+00:00,PT15M
484,18,2025-07-04 07:00:00+00:00,PT15M
512,18,2025-07-04 07:15:00+00:00,PT15M
540,19,2025-07-04 07:30:00+00:00,PT15M
567,19,2025-07-04 07:45:00+00:00,PT15M
592,19,2025-07-04 08:00:00+00:00,PT15M
619,20,2025-07-04 08:15:00+00:00,PT15M
647,20,2025-07-04 08:30:00+00:00,PT15M
673,20,2025-07-04 08:45:00+00:00,PT15M
697,21,2025-07-04 09:00:00+00:00,PT15M
711,21,2025-07-04 09:15:00+00:00,PT15M
715,21,2025-07-04 09:30:00+00:00,PT15M
715,22,2025-07-04 09:45:00+00:00,PT15M
713,22,2025-07-04 10:00:00+00:00,PT15M
710,22,2025-07-04 10:15:00+00:00,PT15M
708,23,2025-07-04 10:30:00+00:00,PT15M
703,23,2025-07-04 10:45:00+00:00,PT15M
696,23,2025-07-04 11:00:00+00:00,PT15M
694,23,2025-07-04 11:15:00+00:00,PT15M
698,24,2025-07-04 11:30:00+00:00,PT15M
700,24,2025-07-04 11:45:00+00:00,PT15M
699,24,2025-07-04 12:00:00+00:00,PT15M
684,24,2025-07-04 12:15:00+00:00,PT15M
