ghi,air_temp,period_end,period
32,14,2025-07-08 18:15:00+00:00,PT15M
18,14,2025-07-08 18:30:00+00:00,PT15M
11,14,2025-07-08 18:45:00+00:00,PT15M
4,14,2025-07-08 19:00:00+00:00,PT15M
0,14,2025-07-08 19:15:00+00:00,PT15M
0,14,2025-07-08 19:30:00+00:00,PT15M
0,14,2025-07-08 19:45:00+00:00,PT15M
0,14,2025-07-08 20:00:00+00:00,PT15M
0,14,2025-07-08 20:15:00+00:00,PT15M
0,14,2025-07-08 20:30:00+00:00,PT15M
0,14,2025-07-08 20:45:00+00:00,PT15M
0,14,2025-07-08 21:00:00+00:00,PT15M
0,14,2025-07-08 21:15:00+00:00,PT15M
0,13,2025-07-08 21:30:00+00:00,PT15M
0,13,2025-07-08 21:45:00+00:00,PT15M
0,13,2025-07-08 22:00:00+00:00,PT15M
0,13,2025-07-08 22:15:00+00:00,PT15M
0,13,2025-07-08 22:30:00+00:00,PT15M
0,13,2025-07-08 22:45:00+00:00,PT15M
0,13,2025-07-08 23:00:00+00:00,PT15M
0,13,2025-07-08 23:15:00+00:00,PT15M
0,12,2025-07-08 23:30:00+00:00,PT15M
0,12,2025-07-08 23:45:00+00:00,PT15M
0,11,2025-07-09 00:00:00+00:00,PT15M
0,11,2025-07-09 00:15:00+00:00,PT15M
0,11,2025-07-09 00:30:00+00:00,PT15M
0,11,2025-07-09 00:45:00+00:00,PT15M
0,11,2025-07-09 01:00:00+00:00,PT15M
0,11,2025-07-09 01:15:00+00:00,PT15M
0,11,2025-07-09 01:30:00+00:00,PT15M
0,11,2025-07-09 01:45:00+00:00,PT15M
0,11,2025-07-09 02:00:00+00:00,PT15M
0,11,2025-07-09 02:15:00+00:00,PT15M
0,11,2025-07-09 02:30:00+00:00,PT15M
0,11,2025-07-09 02:45:00+00:00,PT15M
0,11,2025-07-09 03:00:00+00:00,PT15M
5,12,2025-07-09 03:15:00+00:00,PT15M
12,12,2025-07-09 03:30:00+00:00,PT15M
20,12,2025-07-09 03:45:00+00:00,PT15M
30,12,2025-07-09 04:00:00+00:00,PT15M
43,13,2025-07-09 04:15:00+00:00,PT15M
57,13,2025-07-09 04:30:00+00:00,PT15M
73,13,2025-07-09 04:45:00+00:00,PT15M
87,14,2025-07-09 05:00:00+00:00,PT15M
102,14,2025-07-09 05:15:00+00:00,PT15M
118,14,2025-07-09 05:30:00+00:00,PT15M
134,14,2025-07-09 05:45:00+00:00,PT15M
150,14,2025-07-09 06:00:00+00:00,PT15M
166,15,2025-07-09 06:15:00+00:00,PT15M
185,15,2025-07-09 06:30:00+00:00,PT15M
204,15,2025-07-09 06:45:00+00:00,PT15M
223,16,2025-07-09 07:00:00+00:00,PT15M
238,16,2025-07-09 07:15:00+00:00,PT15M
249,16,2025-07-09 07:30:00+00:00,PT15M
260,16,2025-07-09 07:45:00+00:00,PT15M
269,17,2025-07-09 08:00:00+00:00,PT15M
276,17,2025-07-09 08:15:00+00:00,PT15M
281,17,2025-07-09 08:30:00+00:00,PT15M
284,17,2025-07-09 08:45:00+00:00,PT15M
285,16,2025-07-09 09:00:00+00:00,PT15M
291,16,2025-07-09 09:15:00+00:00,PT15M
300,17,2025-07-09 09:30:00+00:00,PT15M
308,17,2025-07-09 09:45:00+00:00,PT15M
315,17,2025-07-09 10:00:00+00:00,PT15M
321,17,2025-07-09 10:15:00+00:00,PT15M
326,17,2025-07-09 10:30:00+00:00,PT15M
330,17,2025-07-09 10:45:00+00:00,PT15M
333,17,2025-07-09 11:00:00+00:00,PT15M
337,18,2025-07-09 11:15:00+00:00,PT15M
340,18,2025-07-09 11:30:00+00:00,PT15M
341,18,2025-07-09 11:45:00+00:00,PT15M
342,18,2025-07-09 12:00:00+00:00,PT15M
337,18,2025-07-09 12:15:00+00:00,PT15M
327,19,2025-07-09 12:30:00+00:00,PT15M
316,19,2025-07-09 12:45:00+00:00,PT15M
304,19,2025-07-09 13:00:00+00:00,PT15M
295,20,2025-07-09 13:15:00+00:00,PT15M
291,20,2025-07-09 13:30:00+00:00,PT15M
285,20,2025-07-09 13:45:00+00:00,PT15M
278,20,2025-07-09 14:00:00+00:00,PT15M
274,20,2025-07-09 14:15:00+00:00,PT15M
273,20,2025-07-09 14:30:00+00:00,PT15M
271,20,2025-07-09 14:45:00+00:00,PT15M
266,20,2025-07-09 15:00:00+00:00,PT15M
250,20,2025-07-09 15:15:00+00:00,PT15M
223,20,2025-07-09 15:30:00+00:00,PT15M
197,19,2025-07-09 15:45:00+00:00,PT15M
173,19,2025-07-09 16:00:00+00:00,PT15M
151,19,2025-07-09 16:15:00+00:00,PT15M
129,19,2025-07-09 16:30:00+00:00,PT15M
109,19,2025-07-09 16:45:00+00:00,PT15M
90,19,2025-07-09 17:00:00+00:00,PT15M
73,19,2025-07-09 17:15:00+00:00,PT15M
56,19,2025-07-09 17:30:00+00:00,PT15M
41,18,2025-07-09 17:45:00+00:00,PT15M
28,18,2025-07-09 18:00:00+00:00,PT15M
19,18,2025-07-09 18:15:00+00:00,PT15M
13,17,2025-07-09 18:30:00+00:00,PT15M
7,17,2025-07-09 18:45:00+00:00,PT15M
2,16,2025-07-09 19:00:00+00:00,PT15M
0,16,2025-07-09 19:15:00+00:00,PT15M
0,16,2025-07-09 19:30:00+00:00,PT15M
0,15,2025-07-09 19:45:00+00:00,PT15M
0,15,2025-07-09 20:00:00+00:00,PT15M
0,15,2025-07-09 20:15:00+00:00,PT15M
0,14,2025-07-09 20:30:00+00:00,PT15M
0,14,2025-07-09 20:45:00+00:00,PT15M
0,14,2025-07-09 21:00:00+00:00,PT15M
0,14,2025-07-09 21:15:00+00:00,PT15M
0,14,2025-07-09 21:30:00+00:00,PT15M
0,14,2025-07-09 21:45:00+00:00,PT15M
0,14,2025-07-09 22:00:00+00:00,PT15M
0,14,2025-07-09 22:15:00+00:00,PT15M
0,14,2025-07-09 22:30:00+00:00,PT15M
0,14,2025-07-09 22:45:00+00:00,PT15M
0,13,2025-07-09 23:00:00+00:00,PT15M
0,13,2025-07-09 23:15:00+00:00,PT15M
0,13,2025-07-09 23:30:00+00:00,PT15M
0,13,2025-07-09 23:45:00+00:00,PT15M
0,13,2025-07-10 00:00:00+00:00,PT15M
0,13,2025-07-10 00:15:00+00:00,PT15M
0,13,2025-07-10 00:30:00+00:00,PT15M
0,13,2025-07-10 00:45:00+00:00,PT15M
0,13,2025-07-10 01:00:00+00:00,PT15M
0,12,2025-07-10 01:15:00+00:00,PT15M
0,12,2025-07-10 01:30:00+00:00,PT15M
0,12,2025-07-10 01:45:00+00:00,PT15M
0,12,2025-07-10 02:00:00+00:00,PT15M
0,12,2025-07-10 02:15:00+00:00,PT15M
0,12,2025-07-10 02:30:00+00:00,PT15M
0,12,2025-07-10 02:45:00+00:00,PT15M
1,12,2025-07-10 03:00:00+00:00,PT15M
10,12,2025-07-10 03:15:00+00:00,PT15M
26,12,2025-07-10 03:30:00+00:00,PT15M
49,12,2025-07-10 03:45:00+00:00,PT15M
79,12,2025-07-10 04:00:00+00:00,PT15M
112,12,2025-07-10 04:15:00+00:00,PT15M
146,13,2025-07-10 04:30:00+00:00,PT15M
182,13,2025-07-10 04:45:00+00:00,PT15M
220,13,2025-07-10 05:00:00+00:00,PT15M
259,14,2025-07-10 05:15:00+00:00,PT15M
298,14,2025-07-10 05:30:00+00:00,PT15M
338,14,2025-07-10 05:45:00+00:00,PT15M
378,15,2025-07-10 06:00:00+00:00,PT15M
417,15,2025-07-10 06:15:00+00:00,PT15M
456,16,2025-07-10 06:30:00+00:00,PT15M
494,16,2025-07-10 06:45:00+00:00,PT15M
531,17,2025-07-10 07:00:00+00:00,PT15M
565,17,2025-07-10 07:15:00+00:00,PT15M
593,18,2025-07-10 07:30:00+00:00,PT15M
