ghi,air_temp,period_end,period
60,24,2025-07-05 18:15:00+00:00,PT15M
43,23,2025-07-05 18:30:00+00:00,PT15M
25,23,2025-07-05 18:45:00+00:00,PT15M
8,23,2025-07-05 19:00:00+00:00,PT15M
0,22,2025-07-05 19:15:00+00:00,PT15M
0,22,2025-07-05 19:30:00+00:00,PT15M
0,22,2025-07-05 19:45:00+00:00,PT15M
0,22,2025-07-05 20:00:00+00:00,PT15M
0,22,2025-07-05 20:15:00+00:00,PT15M
0,21,2025-07-05 20:30:00+00:00,PT15M
0,21,2025-07-05 20:45:00+00:00,PT15M
0,20,2025-07-05 21:00:00+00:00,PT15M
0,20,2025-07-05 21:15:00+00:00,PT15M
0,20,2025-07-05 21:30:00+00:00,PT15M
0,19,2025-07-05 21:45:00+00:00,PT15M
0,19,2025-07-05 22:00:00+00:00,PT15M
0,19,2025-07-05 22:15:00+00:00,PT15M
0,19,2025-07-05 22:30:00+00:00,PT15M
0,19,2025-07-05 22:45:00+00:00,PT15M
0,18,2025-07-05 23:00:00+00:00,PT15M
0,18,2025-07-05 23:15:00+00:00,PT15M
0,18,2025-07-05 23:30:00+00:00,PT15M
0,18,2025-07-05 23:45:00+00:00,PT15M
0,18,2025-07-06 00:00:00+00:00,PT15M
0,18,2025-07-06 00:15:00+00:00,PT15M
0,18,2025-07-06 00:30:00+00:00,PT15M
0,18,2025-07-06 00:45:00+00:00,PT15M
0,17,2025-07-06 01:00:00+00:00,PT15M
0,17,2025-07-06 01:15:00+00:00,PT15M
0,17,2025-07-06 01:30:00+00:00,PT15M
0,17,2025-07-06 01:45:00+00:00,PT15M
0,17,2025-07-06 02:00:00+00:00,PT15M
0,17,2025-07-06 02:15:00+00:00,PT15M
0,17,2025-07-06 02:30:00+00:00,PT15M
0,17,2025-07-06 02:45:00+00:00,PT15M
2,17,2025-07-06 03:00:00+00:00,PT15M
10,17,2025-07-06 03:15:00+00:00,PT15M
21,17,2025-07-06 03:30:00+00:00,PT15M
35,17,2025-07-06 03:45:00+00:00,PT15M
52,17,2025-07-06 04:00:00+00:00,PT15M
73,18,2025-07-06 04:15:00+00:00,PT15M
98,18,2025-07-06 04:30:00+00:00,PT15M
126,18,2025-07-06 04:45:00+00:00,PT15M
154,19,2025-07-06 05:00:00+00:00,PT15M
184,19,2025-07-06 05:15:00+00:00,PT15M
216,20,2025-07-06 05:30:00+00:00,PT15M
249,20,2025-07-06 05:45:00+00:00,PT15M
281,21,2025-07-06 06:00:00+00:00,PT15M
315,21,2025-07-06 06:15:00+00:00,PT15M
352,22,2025-07-06 06:30:00+00:00,PT15M
389,22,2025-07-06 06:45:00+00:00,PT15M
425,23,2025-07-06 07:00:00+00:00,PT15M
456,23,2025-07-06 07:15:00+00:00,PT15M
480,24,2025-07-06 07:30:00+00:00,PT15M
503,24,2025-07-06 07:45:00+00:00,PT15M
524,24,2025-07-06 08:00:00+00:00,PT15M
549,25,2025-07-06 08:15:00+00:00,PT15M
580,25,2025-07-06 08:30:00+00:00,PT15M
609,25,2025-07-06 08:45:00+00:00,PT15M
637,26,2025-07-06 09:00:00+00:00,PT15M
664,26,2025-07-06 09:15:00+00:00,PT15M
690,26,2025-07-06 09:30:00+00:00,PT15M
715,26,2025-07-06 09:45:00+00:00,PT15M
737,27,2025-07-06 10:00:00+00:00,PT15M
756,27,2025-07-06 10:15:00+00:00,PT15M
771,28,2025-07-06 10:30:00+00:00,PT15M
783,28,2025-07-06 10:45:00+00:00,PT15M
793,28,2025-07-06 11:00:00+00:00,PT15M
801,28,2025-07-06 11:15:00+00:00,PT15M
804,28,2025-07-06 11:30:00+00:00,PT15M
806,29,2025-07-06 11:45:00+00:00,PT15M
804,29,2025-07-06 12:00:00+00:00,PT15M
790,29,2025-07-06 12:15:00+00:00,PT15M
765,29,2025-07-06 12:30:00+00:00,PT15M
738,29,2025-07-06 12:45:00+00:00,PT15M
709,30,2025-07-06 13:00:00+00:00,PT15M
678,30,2025-07-06 13:15:00+00:00,PT15M
648,30,2025-07-06 13:30:00+00:00,PT15M
615,30,2025-07-06 13:45:00+00:00,PT15M
582,30,2025-07-06 14:00:00+00:00,PT15M
546,30,2025-07-06 14:15:00+00:00,PT15M
510,30,2025-07-06 14:30:00+00:00,PT15M
473,30,2025-07-06 14:45:00+00:00,PT15M
436,30,2025-07-06 15:00:00+00:00,PT15M
403,30,2025-07-06 15:15:00+00:00,PT15M
372,30,2025-07-06 15:30:00+00:00,PT15M
340,30,2025-07-06 15:45:00+00:00,PT15M
309,29,2025-07-06 16:00:00+00:00,PT15M
276,29,2025-07-06 16:15:00+00:00,PT15M
242,29,2025-07-06 16:30:00+00:00,PT15M
208,28,2025-07-06 16:45:00+00:00,PT15M
176,28,2025-07-06 17:00:00+00:00,PT15M
146,27,2025-07-06 17:15:00+00:00,PT15M
115,27,2025-07-06 17:30:00+00:00,PT15M
87,26,2025-07-06 17:45:00+00:00,PT15M
62,26,2025-07-06 18:00:00+00:00,PT15M
42,25,2025-07-06 18:15:00+00:00,PT15M
26,25,2025-07-06 18:30:00+00:00,PT15M
14,24,2025-07-06 18:45:00+00:00,PT15M
5,24,2025-07-06 19:00:00+00:00,PT15M
0,24,2025-07-06 19:15:00+00:00,PT15M
0,23,2025-07-06 19:30:00+00:00,PT15M
0,23,2025-07-06 19:45:00+00:00,PT15M
0,23,2025-07-06 20:00:00+00:00,PT15M
0,23,2025-07-06 20:15:00+00:00,PT15M
0,23,2025-07-06 20:30:00+00:00,PT15M
0,23,2025-07-06 20:45:00+00:00,PT15M
0,23,2025-07-06 21:00:00+00:00,PT15M
0,22,2025-07-06 21:15:00+00:00,PT15M
0,22,2025-07-06 21:30:00+00:00,PT15M
0,22,2025-07-06 21:45:00+00:00,PT15M
0,21,2025-07-06 22:00:00+00:00,PT15M
0,21,2025-07-06 22:15:00+00:00,PT15M
0,20,2025-07-06 22:30:00+00:00,PT15M
0,20,2025-07-06 22:45:00+00:00,PT15M
0,20,2025-07-06 23:00:00+00:00,PT15M
0,19,2025-07-06 23:15:00+00:00,PT15M
0,19,2025-07-06 23:30:00+00:00,PT15M
0,18,2025-07-06 23:45:00+00:00,PT15M
0,18,2025-07-07 00:00:00+00:00,PT15M
0,17,2025-07-07 00:15:00+00:00,PT15M
0,17,2025-07-07 00:30:00+00:00,PT15M
0,16,2025-07-07 00:45:00+00:00,PT15M
0,16,2025-07-07 01:00:00+00:00,PT15M
0,16,2025-07-07 01:15:00+00:00,PT15M
0,16,2025-07-07 01:30:00+00:00,PT15M
0,16,2025-07-07 01:45:00+00:00,PT15M
