ghi,air_temp,period_end,period
85,19,2025-07-04 18:15:00+00:00,PT15M
56,19,2025-07-04 18:30:00+00:00,PT15M
31,18,2025-07-04 18:45:00+00:00,PT15M
11,17,2025-07-04 19:00:00+00:00,PT15M
0,17,2025-07-04 19:15:00+00:00,PT15M
0,17,2025-07-04 19:30:00+00:00,PT15M
0,17,2025-07-04 19:45:00+00:00,PT15M
0,17,2025-07-04 20:00:00+00:00,PT15M
0,16,2025-07-04 20:15:00+00:00,PT15M
0,16,2025-07-04 20:30:00+00:00,PT15M
0,16,2025-07-04 20:45:00+00:00,PT15M
0,16,2025-07-04 21:00:00+00:00,PT15M
0,15,2025-07-04 21:15:00+00:00,PT15M
0,15,2025-07-04 21:30:00+00:00,PT15M
0,15,2025-07-04 21:45:00+00:00,PT15M
0,15,2025-07-04 22:00:00+00:00,PT15M
0,15,2025-07-04 22:15:00+00:00,PT15M
0,15,2025-07-04 22:30:00+00:00,PT15M
0,15,2025-07-04 22:45:00+00:00,PT15M
0,15,2025-07-04 23:00:00+00:00,PT15M
0,15,2025-07-04 23:15:00+00:00,PT15M
0,14,2025-07-04 23:30:00+00:00,PT15M
0,14,2025-07-04 23:45:00+00:00,PT15M
0,14,2025-07-05 00:00:00+00:00,PT15M
0,14,2025-07-05 00:15:00+00:00,PT15M
0,14,2025-07-05 00:30:00+00:00,PT15M
0,14,2025-07-05 00:45:00+00:00,PT15M
0,13,2025-07-05 01:00:00+00:00,PT15M
0,13,2025-07-05 01:15:00+00:00,PT15M
0,13,2025-07-05 01:30:00+00:00,PT15M
0,13,2025-07-05 01:45:00+00:00,PT15M
0,13,2025-07-05 02:00:00+00:00,PT15M
0,13,2025-07-05 02:15:00+00:00,PT15M
0,13,2025-07-05 02:30:00+00:00,PT15M
0,13,2025-07-05 02:45:00+00:00,PT15M
3,13,2025-07-05 03:00:00+00:00,PT15M
17,13,2025-07-05 03:15:00+00:00,PT15M
37,14,2025-07-05 03:30:00+00:00,PT15M
61,14,2025-07-05 03:45:00+00:00,PT15M
